CZLSDZh-QCU,CZLSDZh-QCU,CZLSDZh-QCU,CZLSDZh-QCU,CZLSDZh-QCU
Thu Jan 23 13:43:46 CET 2014,Fri Jan 24 13:53:33 CET 2014,Mon Jan 27 13:57:11 CET 2014,Tue Jan 28 12:20:00 CET 2014,Fri Jan 31 15:44:28 CET 2014
vooxhH5axV0,PcGwk3cU1mE,PcGwk3cU1mE,PcGwk3cU1mE,vooxhH5axV0
Jannie de Hond-Brander over haar oorlogservaringen,EN TOEN: Pierre Jansen over WOII en Arnhem,EN TOEN: Pierre Jansen over WOII en Arnhem,EN TOEN: Pierre Jansen over WOII en Arnhem,Jannie de Hond-Brander over haar oorlogservaringen
u7v9W2lkD0o,ycyhWq_Tpx4,Ivb-0fJAhAM,Ivb-0fJAhAM,PcGwk3cU1mE
De oorlog - Aflevering 3: Keuzes en dilemma's,Storm in de Stopera  amsterdam 1979,EN TOEN: Februari-staking 1941 en Arnhem,EN TOEN: Februari-staking 1941 en Arnhem,EN TOEN: Pierre Jansen over WOII en Arnhem
PcGwk3cU1mE,Ivb-0fJAhAM,7E5g1nSIu_k,7E5g1nSIu_k,Qy3rthCvnZ8
EN TOEN: Pierre Jansen over WOII en Arnhem,EN TOEN: Februari-staking 1941 en Arnhem,Dag pap; tot morgen. Joodse kinderen gered uit de crèche,Dag pap; tot morgen. Joodse kinderen gered uit de crèche,Apocalyps; De Tweede Wereldoorlog - Afl.3: De Schok (Dutch)
Ivb-0fJAhAM,7E5g1nSIu_k,uZWeSQXgOyo,uZWeSQXgOyo,Ivb-0fJAhAM
EN TOEN: Februari-staking 1941 en Arnhem,Dag pap; tot morgen. Joodse kinderen gered uit de crèche,Amsterdam; Europe's High Watermark: 1941-1942,Amsterdam; Europe's High Watermark: 1941-1942,EN TOEN: Februari-staking 1941 en Arnhem
N0-yvUInS-4,KEelSEZZ2dg,i5yxHgo6CZU,uPQDpE3pIjw,7E5g1nSIu_k
Mien ten Dam-Pooters vertelt over de Februaristaking.,Joods Amsterdam,TOEN HET OORLOG WAS impressie voorstelling,De tweede wereldoorlog,Dag pap; tot morgen. Joodse kinderen gered uit de crèche
7E5g1nSIu_k,i5yxHgo6CZU,ZqtWqAel7QE,ZqtWqAel7QE,uZWeSQXgOyo
Dag pap; tot morgen. Joodse kinderen gered uit de crèche,TOEN HET OORLOG WAS impressie voorstelling,EN TOEN: L'Arpeggiata - Folia,EN TOEN: L'Arpeggiata - Folia,Amsterdam; Europe's High Watermark: 1941-1942
KEelSEZZ2dg,ZqtWqAel7QE,uPQDpE3pIjw,YvqqkDk2a3M,R_AbCgN6mXY
Joods Amsterdam,EN TOEN: L'Arpeggiata - Folia,De tweede wereldoorlog,Februari staking - De dag dat mijn vader huilde,Holland during WW2 1940-45
ikmHekk_DzE,XQWhtgkDeeQ,YvqqkDk2a3M,4noS08v6n00,uPQDpE3pIjw
De Bezetting - deel 1,Clip   Zomergasten 2010 Afl 5 Paul Verhoeven,Februari staking - De dag dat mijn vader huilde,Staking tegen Nazi's begon bij Stork Hengelo,De tweede wereldoorlog
ZqtWqAel7QE,YvqqkDk2a3M,Ix_CrXmJwNU,KsBMcWoUOiM,ZqtWqAel7QE
EN TOEN: L'Arpeggiata - Folia,Februari staking - De dag dat mijn vader huilde,Amsterdam 1940 - 45,Inval in Polen,EN TOEN: L'Arpeggiata - Folia
4sUQM-ra3LQ,avvhgvGbsdQ,KsBMcWoUOiM,Ix_CrXmJwNU,4noS08v6n00
Zomergasten compilatiefilmpje,Het Lied der Achttien Dooden - Jan Campert - Ab Gietelink & Theater Nomade,Inval in Polen,Amsterdam 1940 - 45,Staking tegen Nazi's begon bij Stork Hengelo
XQWhtgkDeeQ,uZWeSQXgOyo,4noS08v6n00,pS1qqb02_vA,Ix_CrXmJwNU
Clip   Zomergasten 2010 Afl 5 Paul Verhoeven,Amsterdam; Europe's High Watermark: 1941-1942,Staking tegen Nazi's begon bij Stork Hengelo,Het Geuzen Monument Vlaardingen,Amsterdam 1940 - 45
AEghy-pktro,4noS08v6n00,pS1qqb02_vA,wfrnWqrYIBI,KsBMcWoUOiM
Hollandsche schouwburg Amsterdam verzamelplaats Jodenvervolging tijdens de tweede wereldoorlog.,Staking tegen Nazi's begon bij Stork Hengelo,Het Geuzen Monument Vlaardingen,Dut Strike February 2013 Day 2,Inval in Polen
YvqqkDk2a3M,KsBMcWoUOiM,Pk7NvnUkzgo,XQWhtgkDeeQ,pS1qqb02_vA
Februari staking - De dag dat mijn vader huilde,Inval in Polen,Oud Amsterdam; trams van 40 jaar geleden,Clip   Zomergasten 2010 Afl 5 Paul Verhoeven,Het Geuzen Monument Vlaardingen
6oe0OwtoIsY,l_FwHv3xrHM,l_FwHv3xrHM,l_FwHv3xrHM,Pk7NvnUkzgo
Herdenking Februaristaking 1961,Schiermonnikoog in 1969,Schiermonnikoog in 1969,Schiermonnikoog in 1969,Oud Amsterdam; trams van 40 jaar geleden
4noS08v6n00,pS1qqb02_vA,XQWhtgkDeeQ,2Wt1NQgri2A,XQWhtgkDeeQ
Staking tegen Nazi's begon bij Stork Hengelo,Het Geuzen Monument Vlaardingen,Clip   Zomergasten 2010 Afl 5 Paul Verhoeven,Pierement; draaiorgels in Amsterdam (1941),Clip   Zomergasten 2010 Afl 5 Paul Verhoeven
4N4ugfqNlrg,wfrnWqrYIBI,2Wt1NQgri2A,JDvkl5xzqdg,l_FwHv3xrHM
Fragment Ischa Meijer Zomergasten ('92),Dut Strike February 2013 Day 2,Pierement; draaiorgels in Amsterdam (1941),Holland Nederland in color kleur oorlog WW2 Netherlands Wehrmacht Rotterdam Eddy Christiani,Schiermonnikoog in 1969
ipFKwihC77k,sNWe4Ezdrd4,JDvkl5xzqdg,SxrmAQ2I1XQ,F4Pw4ikna_M
Amsterdam - Winter 1940/1941,amsterdam-paris -  soledad; jujuy 1941,Holland Nederland in color kleur oorlog WW2 Netherlands Wehrmacht Rotterdam Eddy Christiani,DJ TsedR ~ Better Late Than Never (Old Amsterdam film footage),Michiel de Ruyter
KsBMcWoUOiM,4N4ugfqNlrg,SxrmAQ2I1XQ,4N4ugfqNlrg,JDvkl5xzqdg
Inval in Polen,Fragment Ischa Meijer Zomergasten ('92),DJ TsedR ~ Better Late Than Never (Old Amsterdam film footage),Fragment Ischa Meijer Zomergasten ('92),Holland Nederland in color kleur oorlog WW2 Netherlands Wehrmacht Rotterdam Eddy Christiani
l_FwHv3xrHM,Pk7NvnUkzgo,vKeyHqHSGDI,m1Zyrt38sYQ,4VfHQV-Zyjk
Schiermonnikoog in 1969,Oud Amsterdam; trams van 40 jaar geleden,Gusta Olivier Vonk.Februaristaking,De geschiedenis van LINDBERGH TOUR & TRAVEL ; Amsterdam; Damrak vroeger vanaf 1918,NSB-ers worden weggevoerd in1945
pS1qqb02_vA,2Wt1NQgri2A,m1Zyrt38sYQ,vKeyHqHSGDI,4N4ugfqNlrg
Het Geuzen Monument Vlaardingen,Pierement; draaiorgels in Amsterdam (1941),De geschiedenis van LINDBERGH TOUR & TRAVEL ; Amsterdam; Damrak vroeger vanaf 1918,Gusta Olivier Vonk.Februaristaking,Fragment Ischa Meijer Zomergasten ('92)
2Wt1NQgri2A,vKeyHqHSGDI,4N4ugfqNlrg,F4Pw4ikna_M,2Wt1NQgri2A
Pierement; draaiorgels in Amsterdam (1941),Gusta Olivier Vonk.Februaristaking,Fragment Ischa Meijer Zomergasten ('92),Michiel de Ruyter,Pierement; draaiorgels in Amsterdam (1941)
sNWe4Ezdrd4,u8foyT9EuWs,F4Pw4ikna_M,u8foyT9EuWs,u8foyT9EuWs
amsterdam-paris -  soledad; jujuy 1941,Felix Rottenberg over Pim Fortuyn 2004-08-01 Zomergasten,Michiel de Ruyter,Felix Rottenberg over Pim Fortuyn 2004-08-01 Zomergasten,Felix Rottenberg over Pim Fortuyn 2004-08-01 Zomergasten
7ZIvzOg1bd4,CsfRm8Q4vjA,u8foyT9EuWs,4VfHQV-Zyjk,SxrmAQ2I1XQ
Hoe 600 Joodse kinderen worden gered in de Tweede Wereldoorlog,Oud Amsterdam; Leidseplein;  Huis van Bewaring 1970,Felix Rottenberg over Pim Fortuyn 2004-08-01 Zomergasten,NSB-ers worden weggevoerd in1945,DJ TsedR ~ Better Late Than Never (Old Amsterdam film footage)
SXbSgzzGPRk,F4Pw4ikna_M,4VfHQV-Zyjk,EgKgaJnmXFw,JYyRbP17xnw
Theatrale vertelling STAAKT,Michiel de Ruyter,NSB-ers worden weggevoerd in1945,Am Strande von Scheveningen 1941,Eerste NTS-Journaal (5 januari 1956)
Lc1zV43YPQE,SXbSgzzGPRk,EgKgaJnmXFw,fvjQv0pH138,fvjQv0pH138
Herdenking februari staking Amsterdam - 2008,Theatrale vertelling STAAKT,Am Strande von Scheveningen 1941,Zwarte Blz 103: Meijer Kellerman 1942-1943,Zwarte Blz 103: Meijer Kellerman 1942-1943
