621039,Waterschansspringen,Internationale wedstrijd schansspringen voor waterskiërs te Anna Paulowna; met oa een demonstratie met een menselijke piramide. Kelvin Phelan uit Groot-Brittannië wordt eerste en wint de Zilveren Tulp; Ulleberg wordt tweede. Verder verschillende mensen die ten val komen.
630387,Nieuws van de 12de internationale huishoudbeurs,12de huishoudbeurs in de RAI te Amsterdam; met een keuken waar aardappelhapjes worden bereid; een aardappelschilmachine die op water werkt; een jampot-opener; een pollepel met ingebouwde weegschaal; een elektrische braadpan; een wasmachine; een miniatuurcentrifuge; een eetkamerkast met uitklaptafel en een handtas die tot boodschappentas kan worden omgebouwd.
613631,Jaarlijkse Vondelpark estafette,Beelden van de jaarlijkse Vondelpark-estafette te Amsterdam; (met regenachtig weer) waarbij Amsterdamse Athletiek Club (AAC) winnaar werd en Jan Zeegers als eerste de finish passeerde. -Start estafette 11"; -div. shots wedstrijd met finish Jan Zeegers 15"; -pan langs ploeg atleten van de AAC; die in 1931 won 5";
151278,Vleugel van nieuw stadhuis gereed,Het Eindhovens gemeentebestuur huisde; met het grootste deel van de ambtenaren; jarenlang in een oude villa. Nieuwbouw voor een nieuw stadhuis ving aan in 1948. Nu is een gedeelte van het nieuwe stadhuis gereed en wordt het; iav div. notabelen waaronder de minister van Binnenlandse Zaken; dr. L.J.M. Beel; geopend door burgemeester; mr. H.A.M.T. Kolfschoten. SHOTS: - Ext. oude behuizing; - ext. nieuwe stadhuis; - int. nieuwe stadhuis: gangen; kantoren; burgemeesterskamer mét antieke klok; trouwzaal; - de groep notabelen komt over straat aanlopen bij het nieuwe stadhuis; - op de stoep biedt de architect; ir. Van der Laan(?) de sleutel aan aan Kolfschoten die de deur opent; - een grote menigte belangstellenden staat voor het gebouw en ziet hoe aan de gevel de vlag ontrold wordt.
2235,Noodlanding oefening helicopters,Rampenoefening voor KLM-personeel van de Noordzeehelikopters op het Gooimeer. Een helikopter maakt een noodlanding op het water; personeel gooit een rubber reddingboot uit en de mensen stappen erin over. Vervolgens stijgt de helikopter op. Met beelden van een KLM-helikopter die op een booreiland land.
631469,P.T.T. Postbezorging per boot in de Biesbosch,Vijf dagen per week bezorgt postbode Cees Schuller per PTT-motorboot post bij bewoners in het eilandrijke gebied de Biesbosch. SHOTS: PTT Post-boot vaart door het winterse landschap van de Biesbosch; postbode bezorgt post en haalt brieven op bij huizen op eilandjes in het natuurgebied; Schuller drinkt koffie bij bewoners.
165057,PSV landskampioen,In de voorlaatste speelronde van de competitie strijden PSV en Ajax in een rechtstreeks duel om de landstitel. Op het eigen Philips Sportpark winnen de Eindhovenaren met 5-2 (rust 2-1) en behalen het eerste kampioenschap in de Eredivisie. Met doelpunten voor PSV van Lambert Maassen (1-0); Gerard Hoenen (2-1); Pierre Kerkhoffs (3-1); invaller Wim Wolbers (5-2) en een eigen doepunt van Ajacied Piet Ouderland die in eigen doel kopt (4-2); enthousiaste PSV-supporters nemen meerdere keren bezit van het speelveld en nemen na afloop de spelers op de schouders o.a. doelman Gert Bals en aanvoerder Roel Wiersma.
1535,Politie zwemfeest,In het Sportfondsenbad te Amsterdam demonstreren politieagenten in opleiding hun zwemvaardigheden voor collega's in uniform en een talrijk publiek.
155955,Burgemeester houdt zijn intocht,De verhuizing van de burgemeester van Geldrop; Van der Putte; op traditionele Brabantse wijze. SHOTS: - paard-en-wagen wordt volgeladen met meubels; terwijl man en vrouw accordeon bespelen; - twee mannen dragen bedpan met kandelaar en brandende kaars naar buiten; - burgemeester en zijn vrouw nemen plaats in huifkar; - wagens vertrekken van huis; - div. shots van stoet onderweg; in de stoet loopt oa muziekkapel mee; - stoet stopt en Van der Putte en zijn vrouw stappen uit.
616531,Hard-schreeuw wedstrijd,Op de markt in Den Bosch kon publiek meedoen aan wedstrijden hard-schreeuwen en klompen-stampen.SHOTS: deelnemers aan de wedstrijden hard-schreeuwen en klompen-stampen.
631648,Verdwijnend beroep in West Friesland,Juffrouw Bos uit het West-friese Wognum heeft 45 jaar ervaring met het op de juiste manier aanbrengen van plooien in de zgn. hul; de kanten hoofddoek van de Westfriese vrouwen. Ze legt haar werk nu neer vanwege haar leeftijd en het steeds geringer wordend aantal klanten. SHOTS: - Ext. kerk en hoofdstraat Wognum; - ext. + int. huis van juffrouw Bos; zij ontvangt een klant en demonstreert hoe de plooien moeten worden gemaakt.
630283,De ''Hip-o-hop'' rage bereikt Amsterdam,Kinderen spelen op de nieuwe rage; de springstok hip-o-hip. Op de Noordermarkt te Amsterdam worden wedstrijden voor kinderen gehouden.
1857,Kampeertrein voor de Amsterdamse jeugd,De Amsterdamse stichting "Jongeren en Studenten" heeft de beschikking over een tweetal zeer bijzondere vervoermiddelen: een kampeertrein en een kampeerboot. De trein bestaat uit acht wagons die bij elkaar horen en samen een compleet ingericht rijdend jeugdhuis vormen. In de zomer wordt de trein naar buiten gereden en dient hij als kampeergelegenheid voor zo'n vijftig jeugdige Amsterdammertjes. De staf bestaat uit studenten. Beelden van de trein staand bij het station van Rhenen; div. kampeeractiviteiten; spelende kinderen en het vertrek van de kampeerboot.
615588,Nationale ruilbeurs voor verzamelaars in Amsterdam,Verzamelaarsbeurs Dag der Verzamelaars in de Koopmansbeurs te Amsterdam; met oa suikerzakjes; autocuriositeiten; handdoeken; foto's van Romy Schneider; sigarenbandjes en prentbriefkaarten.
618109,Stockcar-races in de regen,Simon de Hoop uit Maasland wint in de stromende regen de stockcar-race te Blaricum. Vervolgens wordt er een wedstrijd met Volkswagen Kevers gehouden.
621579,Keizer bolling met de krulbol,Wedstrijd krulbollen in Oostburg. Een kaasvormige schijf van 22cm doorsnee; de krulbol; wordt met de hand naar een paal gerold; met als doel de schijf er zo dicht mogelijk bij te krijgen.
624310,De wonderlijke paarden van Middelstum,De drie zusjes Liewes uit Middelstum hebben de werkpaarden van hun boerderij gedresseerd; zodat ze suikerklontjes uit de mond van de zusjes eten; hun leeftijd aanslaan met hun hoeven; binnenshuis mee-eten; in de huiskamer zitten en goede-nacht wensen.
2583,Branden vernielen honderden hectare natuurgebied,Door de aanhoudende droogte in Nederland zijn op veel plaatsen bosbranden uitgebroken. SHOTS: (lucht)shots van bosbranden op de Veluwe; brandweer spoedt weg bij oprukkende bosbrand; rand van vuur vlakbij Arnhem; bos nadat de brand geblust is.
165084,Het Europees tweelingencongres in Oirschot,Europees tweelingencongres te Oirschot; met 300 tweelingparen; met oa de tweelingbroers Lipman uit Huissen; Bartels en Kiehl uit West-Duitsland; de zussen Bernadette en Renee Smits uit Boxtel en Nellie en Ali Zondevan uit Marken; Kees en Trees van Iersel uit Tilburg en E.A.M.A. Steger; burgemeester van Oirschot. Er wordt een Brabantse koffiemaaltijd geserveerd; waarna op de markt een prijsuitreiking plaatsvindt; waarbij de broers Beers uit Tilburg en de zussen Sigrid en Karin Grandel uit Finland prijzen winnen en de zussen Diepvens uit België tot Europa-tweeling 1955 worden uitgeroepen.
617826,Amsterdammers verven hun straat op,Leerlingen van de school aan de Fokke Simonszstraat te Amsterdam krijgen op een zaterdagmiddag een verf en kwasten uitgereikt; waarna ze het houtwerk van de gebouwen in de straat verven. Ook ouderen helpen mee met verven. Na het verven nemen ze deel aan een wedstrijd op een miniatuur wielerbaan; terwijl een jury; met oa tekenaar Eppo Doeve; het verfwerk beoordeelt. Aan het eind loopt een muziekkorps door de straat.
149961,Burgers (des)organiseren het verkeer in Eindhoven,Eindhovense burgers hebben kritiek geuit op de politie vwb het regelen van het verkeer. Op uitnodiging van de Eindhovense autoriteiten en de politie mogen enkele klagers; na een korte instructie; een uurtje het stadsverkeer regelen om te tonen hoe het beter kan. Het verkeer zit; na korte tijd; volledig vast. Op de stoep slaan burgers en politieagenten het geschutter van de verkeersregelaars en de verkeerschaos geamuseerd gade.
613521,Beelden in Vondelpark,100-jarig bestaan van het Vondelpark te Amsterdam; met oa het standbeeld van Joost van den Vondel. Ter viering van het jubileum zijn bij de speelweiden moderne beeldhouwwerken neergezet van oa André Volten; een geverfde boomstam van Karel Appel; Alexander Calder; De Prins van Teshigahara; een grote stoel van Wim T. Schippers en een watersproeier van Jean Tinguely.
2221,Zomer valt weer echt in het water,De regen in de zomer leidt in Nederland tot overlast voor vakantiegangers. Mensen op een camping proberen hun tenten watervrij te maken. Anderen rijden met auto's en caravans naar het zuiden en passeren bij Elten de grens.
151339,Luciferfabricage,In Eindhoven worden bij de enige luciferfabriek in Nederland; die 100 jaar bestaat; stammen populierenhout van hun bast ontdaan en geschild tot fineer ter dikte van lucifers. In een afslagmachine worden stapels fineer afgesneden; zodat luciferhoutjes ontstaan. Deze worden geïmpregneerd en in de vloeibare kopmassa; bestaande uit kaliumchloraat; gedompeld. In een andere machine worden de luciferdoosjes gemaakt. In een vulmachine worden de doosjes gevuld en aan weerszijden van het doosje wordt een strijkvlak van fosfor aangebracht. Per dag worden 80 mln. lucifers geproduceerd.
627986,Open Cultuur Data - data openstellen: masterclass en inventarisatie voordelen en risico’s,Na de eerste fase van Open Cultuur Data; die resulteerde in 8 datasets en 13 apps; kwamen er steeds meer vragen vanuit de culturele sector over hoe ze data het beste konden openstellen en aanbieden. Dit resulteerde in een masterclass Open Data voor Culturele Instellingen; georganiseerd door Creative Commons Nederland. Hierin kregen de 17 deelnemende instelling antwoord op praktische; technische en auteursrechtelijke vraagstukken. De masterclass werd afgesloten met een hackathon; waarbij ontwikkelaars aan de slag gingen met de opengestelde data. Daarbij onderzocht Open Cultuur Data wat nu volgens instellingen de belangrijkste voordelen en risico’s zijn van open data. Dit deden we met tientallen erfgoed- en cultuurprofessionals; zowel binnen de masterclass als tijdens een workshop van Digitaal Erfgoed Nederland. Hierbij kwam naar voren dat de belangrijkste risico’s zijn: verlies van controle; foutieve of geen attributie; privacygevoeligheid van sommige data; en verlies van inkomen. De belangrijkste voordelen die genoemd werden zijn: vervullen van de publieke missie en nieuwe kanalen aanboren om mensen te bereiken; verrijking van de data door derden en stimuleren van hergebruik. De conclusie was dat de voordelen zwaarder wegen dan de risico’s. Meer informatie:  http://www.opencultuurdata.nl/ en  http://mw2013.museumsandtheweb.com/paper/open-culture-data-opening-glam-data-bottom-up/ Deel 1:  Open Cultuur Data - van ad-hoc activity naar solide network Deel 3:  Open Cultuur Data - app competitie: resultaten en lessons-learned Deel 4:  Open Cultuur Data - lessons-learned en toekomstperspectief Deze video is geproduceerd door het  Nederlands Instituut voor Beeld en Geluid in samenwerking met  Kennisland; in het kader van het grootschalige digitaliseringsproject  Beelden voor de Toekomst. Beeld en Geluid herbergt ruim 800.000 uur aan radio; televisie; film en muziek van 1898 tot nu; en maakt zijn collecties toegankelijk voor uiteenlopende doelgroepen; waaronder mediaprofessionals; creatieve sector; onderwijs en het algemeen publiek. Kennisland werkt aan maatschappelijke vernieuwing en doet onderzoek; geeft advies en ontwikkelt interventies voor een sterke kennissamenleving. Beeld en Geluid en Kennisland zijn beide partner in Beelden voor de Toekomst; een grootschalig digitaliseringsproject waarbinnen vier instellingen een belangrijk deel van het audiovisueel erfgoed van Nederland redden door conservering en digitalisering. Het gedigitaliseerde materiaal komt zo breed mogelijk beschikbaar voor onderwijs en het publiek.
62169,Dierenbescherming,Polygoon op de boerderij: Instructieve voorbeelden van het omgaan met dieren. Shots: Varkens worden schuur uitgelaten en gevoederd; veulen en paard worden gescheiden en weer bijeengebracht ; boer en man (vertegenwoordiger Dierenbescherming ?) tonen optillen varken ; shots koeien + het vastbinden van de poten; man met kat; konijn en kippen (demonstreert juiste tilwijze) ; cu zeug met biggetjes. Aantekening: Opnamen in kader Dierendag ?
155532,Vlieg er eens uit,Impressie vanuit Enkhuizen van het TROS-televisieprogramma 'Vlieg er eens uit'; waarin de deelnemers proberen m.b.v. zelfgebouwde voertuigen zo lang mogelijk in de lucht te blijven na een sprong vanaf een stellage.
613689,Vondelpark estafette,Hardloopwedstrijden in Vondelpark te Amsterdam. SHOTS: div. shots hardlopers: start; wissel bij estafette; finish; cu winnaars.
638108,Examens van de vereniging tot Bevordering van Harmonische Lichaamsontwikkeling,De Nationale vereniging tot Bevordering van Harmonische Lichaamsontwikkeling neemt te Amsterdam examens af waarbij de kandidaten proeven moeten afleggen dmv div. sportieve prestaties. SHOTS: -Div. shots examinandi komen in colonne aangemarcheerd; -div. shots div. sportprestaties (touwklimmen; fietsen; hardlopen; hordenlopen; kogelstoten; hoogspringen; verspringen).
2818,Plechtige bevestiging van opperrabijn Schuster in Amsterdam,Aron Schuster wordt door H. Rodrigues Pereira; opperrabbijn der Portugees-Israëlische gemeente in Nederland; in de synagoge aan de Lekstraat te Amsterdam in het ambt van opperrabbijn van Amsterdam bevestigd. Vervolgens opent Pereira de heilige ark; waarna Schuster in het Hebreeuws het gebed voor het welzijn van de koningin en het koninklijk huis uitspreekt. Vertegenwoordigers van de burgerlijke overheid en de christelijke kerken wonen de plechtigheid bij.
73858,Atletiekwedstrijden om het Nederlands kampioenschap,Onder grote publieke belangstelling vinden in Eindhoven de nationale kampioenschappen athletiek plaats. SHOTS: verspringen heren; hordenlopen dames; polsstokhoogspringen heren; 200 mtr. hardlopen heren (winnaar T. Osendarp).   Tijdens de Tweede Wereldoorlog stonden de bioscoopjournaals van de filmfabrieken Polygoon en Profilti onder toezicht van de Duitse bezetter. Polygoon en Profilti moesten samenwerken met het Duitse filmverhuurkantoor Tobis. Vanaf 1 januari 1941 kreeg het bioscoopjournaal daarom de naam Tobis Nieuws. Tot in het najaar van 1944 werden onder deze naam door Polygoon en Profilti om de beurt journaals geproduceerd.
10692,Ontheemden uit Midden-Europa vinden asiel in ons land,De Nederlandse regering verleent asiel aan enkele honderden bejaarden uit Joegoslavië; Polen; Hongarije en de Baltische landen. De mensen verbleven; sinds het einde van de Tweede Wereldoorlog; in kampen in Oostenrijk en West-Duitsland. SHOTS: - De mannen en vrouwen arriveren op het station in Eindhoven. Bepakt en bezakt verlaten ze de trein. In een restaurant krijgen ze koffie en boterhammen.
630741,Mijnwerkers met vakantie,In de afgelopen strenge winter hebben Limburgse mijnwerkers extra hard gewerkt om Nederland van kolen te voorzien. Om iets "terug" te doen is een aantal mijnwerkers nu; onder auspiciën van Volksherstel; enkele dagen de gast van enkele steden boven de Moerdijk. SHOTS: een stoomtrein rijdt het station van Amsterdam binnen. De mijnwerkers verlaten; met bagage; de trein en gaan in optocht; muziek voorop; de stad binnen; passeren oa de Beurs van Berlage. De mannen bezoeken per boot Volendam en Marken en zien sportmanifestaties in het Olympisch Stadion: massale ritmische gymnastiek; schermen; judo; windhondenrennen. Na het geven van een afscheidscadeau vertrekken ze weer. Het geheel wordt voorafgegaan door oude journaalbeelden van mijnwerkers die in de strenge afgelopen winter vrijwillig een extra hoeveelheid steenkolen produceerden.
633428,Jongelui leren banketbakkersvak,Sinterklaas rijdt tijdens zijn intocht in Amsterdam op een schimmel naar de Dam; omringd met zwartepieten. Olv dhr. Van Assel maken leerlingen van de banketbakkersschool te Amsterdam Sinterklaasfiguren in suikergoed; speculaas; poppen van marsepijn; pepernoten; borstplaat en banketletters. Met commentaar (buiten beeld) van de leerlingen.
3192,Noordwijk aan Zee als badplaats en tenniscentrum,Sfeerbeelden van een zonnig Noordwijk aan Zee met accent op strand- en tennisfaciliteiten. SHOTS: - Hoog stadsshot; hoge shots boulevard en strand; - over de boulevard trekt een optocht voorbij van ruiters; voorop rijdt een rijtuig met een vlag "NRB"; veel publieke belangstelling; - tennis: heren dubbelspel en enkelspel op een gravelbaan; de enkelspelers zijn wellicht Pails en Brown. 00:38 Jan Timmer (links).
160133,Gulle paaseierenactie voor de jeugd,In Eindhoven delen als paashaas verklede kinderen paaseieren uit aan patiëntjes in ziekenhuizen en aan kinderen in het woonwagenkamp. Verder zoeken kinderen in het grote stadspark naar verstopte paaseieren.
615308,Unieke kevercollectie,In Arnhem woont de amateur-entomoloog de heer Van Roon (?). Zijn specialisme en hobby is: zijn verzameling kevers. SHOTS: - Van Roon zit achter zijn bureau en bladert in een boek; - hij trekt enkele laden open van een grote ladenkast aan de muur en toont de in de laden verzamelde systematisch opgeprikte kevers; - hij tuurt door een microscoop naar een kever; - enkele microscopische opnamen van kevers en hun anatomische details.
639267,Het Geluid van Nederland (Nederlandse versie),Het Geluid van Nederland is een project van het  Nederlands Instituut voor Beeld en Geluid;  De Auditieve Dienst en  Kennisland dat in het kader van het digitaliseringsprogramma  Beelden voor de Toekomst tot stand is gekomen.  Meer dan 2.000 van de eigen opnames uit het historische geluidenarchief van Beeld en Geluid; waaronder veel ‘verdwenen geluiden’; zijn voor een breed publiek online toegankelijk gemaakt. Daarnaast kan iedereen geluiden toevoegen via het online platform of met de Geluidenjager-app voor  iPhone en  Android toestellen. De collectie van historische geluiden én de nieuwe geluiden wordt met dit project online toegankelijk gemaakt voor raadpleging en hergebruik; onder de  Creative Commons licentie Naamsvermelding-GelijkDelen licentie. Om bijdrages aan en hergebruik van de collectie aan te moedigen werden er diverse activiteiten georganiseerd; waaronder workshops en verschillende wedstrijden. Het Geluid van Nederland wordt mede mogelijk gemaakt door een financiële bijdrage van  Stichting Doen en de  BankGiro Loterij.     Credits: Regie; montage en audio: Sebastiaan ter Burg. Deze video is geproduceerd door het  Nederlands Instituut voor Beeld en Geluid in samenwerking met  Kennisland en de  Auditieve Dienst in het kader van het grootschalige digitaliseringsproject  Beelden voor de Toekomst. Beeld en Geluid herbergt ruim 800.000 uur aan radio; televisie; film en muziek van 1898 tot nu; en maakt zijn collecties toegankelijk voor uiteenlopende doelgroepen; waaronder mediaprofessionals; creatieve sector; onderwijs en het algemeen publiek. Kennisland werkt aan maatschappelijke vernieuwing en doet onderzoek; geeft advies en ontwikkelt interventies voor een sterke kennissamenleving. Arnoud Traa is een sound designer met een fascinatie voor verdwenen geluiden. Hij werkt aan films; theater; installaties en games vanuit zijn studio 'De Auditieve Dienst'. Beeld en Geluid en Kennisland zijn beide partner in Beelden voor de Toekomst; een grootschalig digitaliseringsproject waarbinnen vier instellingen een belangrijk deel van het audiovisueel erfgoed van Nederland redden door conservering en digitalisering. Het gedigitaliseerde materiaal komt zo breed mogelijk beschikbaar voor onderwijs en het publiek.     Gebruikte geluiden: - Titel:  Grote gele kwikstaart in Utrecht. Maker: Luc de Bruijn. Licentie:  CC BY - Titel:  Soundlogo Geluid van Nederland. Maker: Geert Rombout. Licentie:  CC BY-SA - Titel:  Zebrastep [aerotrain edit]. Maker: John O'Connell; Bruno Rocha & Jan Van Balen. Licentie:  CC BY-SA  Rectificatie: Van 4 tot en met 11 juli 2013 heeft Beeld en Geluid abusievelijk de ''grote gele kwikstaart'' verkeerd beschreven als ''gele kwikstaart''.
151639,Hevige windvlaag teistert de stad,De gevolgen van een hevige cycloon die Eindhoven in de nacht van 30 op 31 juli 1939 teisterde. SHOTS: - rijen huizen zonder dak en ineengestorte gebouwen; - mensen bezig met het opruimen van de ravage bij kerk; - Pastoor van Ars-kerk met deels verwoest dak.
616306,Spuitbalwedstrijd in Maassluis,Een BB-ploeg uit Maassluis wint de wedstrijd spuitbal om de grote prijs van de Nieuwe Waterweg van de vrijwillige brandweer uit dezelfde plaats met 1-0.
616483,Best verzorgde hond,De wedstrijd voor kinderen voor de best verzorgde hond in het Openluchttheater aan de Westzeedijk te Rotterdam.
631313,Bij het centraal instituut voor sportleiders,Om in het gebrek aan gekwalificeerde sportleiders te voorzien heeft het ministerie van Onderwijs; Kunsten en Wetenschappen een Centraal Instituut voor de Opleiding van Sportleiders opgericht; het CIOS; gevestigd te Overveen. Instituut en cursisten worden aan de kijkers voorgesteld. SHOTS: - zeer kort overzicht van de normale spontane motorische ontwikkeling van het jonge kind: baby ligt in kinderwagen te trappelen; kleuter onderneemt looppogingen; kleine kinderen krijgen op school gymnastiekles; - overzicht van lichamelijk ongezonde levenswijze van volwassenen: in de vrije tijd ligt men alleen maar in een stoel een sigaar te roken en een krantje te lezen; in de beroepssituatie worden weinig of eenzijdige bewegingen gemaakt: meisjes in een naaiatelier achter de naaimachine; administratief personeel achter een bureau met een telmachine of in voortdurende schrijfhouding; bankwerker achter een draaibank; chauffeur achter stuurwiel; verkeersagent op straat; - ext. CIOS; jonge mannen gaan naar binnen; - int. CIOS: leerlingen krijgen anatomieles in een klaslokaal of demonstreren div. vaardigheden in een gymzaal en doen aan judo; buiten oefenen ze in verspringen; kogelstoten en rek- en strekoefeningen; - meisjes in naaiatelier doen gymnastiekoefeningen.
